,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.587666143,0.201237253,0.048146578,0.0,1.056763757,0.299374603,0.523432535,0.308460266,0.091029432,0.062968464,0.206344096,2.582590247
1330,0.376490408,0.153087516,0.003693138,0.0,0.860289981,0.18191283,0.394466618,0.188638489,0.047484248,0.037056744,0.152916207,2.710079004
1331,0.417907563,0.19003071,0.0,0.0,1.888793547,0.186178522,0.524816145,0.284133274,0.064467552,0.064823322,0.114690092,25.47540791
1337,0.452324209,0.142626817,0.029620405,0.0,0.586202638,0.225861291,0.435590045,0.269932008,0.086748281,0.063881154,0.202138372,3.060525715
1357,0.538240797,0.121632063,0.045856746,0.0,1.071082997,0.209209421,0.298026427,0.217498484,0.06463651,0.0,0.19133997,0.641014099
1377,0.698414464,0.168008958,0.099156432,0.0,1.649855932,0.252844839,0.482594545,0.377221676,0.280115176,0.059096304,0.173013483,14.70133086
1381,0.61986157,0.141032599,0.075079528,0.0,1.068268396,0.239059441,0.504295885,0.262470415,0.093846955,0.036519522,0.183015245,15.3583705
1400,0.974916274,0.127903953,0.133025441,0.0,0.538102959,0.227033082,0.283284031,0.152705714,0.081201661,0.0,0.226916379,1.444580169
1414,0.568802001,0.138691419,0.06098428,0.0,1.300364415,0.342500372,0.626962642,0.321594966,0.040630426,0.024131959,0.16806089,4.371381167
1418,0.677263135,0.116217083,0.049310382,0.0,0.605660551,0.287673257,0.616388191,0.313639502,0.048960665,0.00867764,0.193457352,2.046098103
1427,0.431778917,0.103497266,0.048416716,0.0,1.82201027,0.254818638,0.307125808,0.137134516,0.00929797,0.0,0.096696106,6.863663814
1428,0.394410152,0.115336823,0.006729708,0.0,0.675828795,0.244322479,0.335243076,0.165897773,0.039188463,0.027464188,0.109883335,4.34098998
1431,0.614928162,0.131608105,0.085874028,0.0,0.792252538,0.45239046,0.429670419,0.302248865,0.081877544,0.004414852,0.188228468,1.269237844
1464,0.431180638,0.148107467,0.087159104,0.0,0.883163492,0.356408737,0.552048944,0.25688106,0.044257656,0.032989358,0.186358057,13.52987216
1469,0.54238692,0.123398365,0.078080112,0.0,0.708581899,0.300850708,0.530487903,0.258985002,0.048384347,0.053741499,0.103372982,19.97767213
1472,0.388385383,0.140957984,0.015873913,0.0,1.135579446,0.472290207,0.350787932,0.201604968,0.022672548,0.0,0.111992885,5.563788478
1473,1.146060417,0.174802884,0.225716219,0.0,2.503329489,0.790124298,0.544719632,0.432663217,0.023548604,0.014823029,0.156376618,3.957435864
1475,0.382086922,0.097279414,0.031288516,0.0,0.711336146,0.816646137,0.311946019,0.116656072,0.0,0.0,0.152287942,0.727809257
1480,0.474893485,0.130834704,0.028267666,0.0,0.819529663,0.575217759,0.419646415,0.185946246,0.025228718,0.00643638,0.132488232,13.44897882
1488,0.677313447,0.194351452,0.098389372,0.0,2.20525123,0.828985175,0.49641373,0.363990624,0.066375522,0.024870932,0.147308296,9.317186586
