,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.700495797,0.171403732,0.087663105,0.0,1.045036817,0.321217837,0.473480449,0.26549071,0.053868975,0.060226384,0.172884795,1.594282573
1330,0.426152385,0.163520798,0.032093308,0.0,0.989562301,0.208701209,0.395000788,0.179914346,0.054028846,0.049067014,0.170546164,1.020120424
1331,0.548913502,0.159342386,0.006987895,0.0,0.328274226,0.232743349,0.421833197,0.219247985,0.09050277,0.056002004,0.167112571,2.620813978
1337,0.429401106,0.158064178,0.059163971,0.0,0.697771638,0.159989438,0.412672741,0.291472129,0.050840426,0.05221736,0.138544695,4.707081383
1357,0.463427694,0.068020242,0.003559486,0.0,0.55237497,0.186113749,0.369643195,0.151932951,0.0,0.03264458,0.075040912,0.13234004
1377,0.646410924,0.163439578,0.049357235,0.0,1.79099319,0.291333251,0.549337045,0.449439822,0.158293935,0.05809269,0.191452815,13.87010072
1381,0.522162042,0.125559748,0.0,0.0,0.79438037,0.199550403,0.488201692,0.217375645,0.033154913,0.012206078,0.168316487,16.89122528
1400,0.462775846,0.116278282,0.0,0.0,0.662082409,0.203483814,0.37905621,0.157655311,0.0,0.0,0.118627345,0.795518821
1414,1.868919958,0.462530773,1.26661681,0.0,1.005363699,1.017579844,2.038827992,1.418777679,0.138851304,0.199582216,0.923360808,15.44840464
1418,0.800935947,0.101396768,0.1459216,0.0,0.376067871,0.375986992,0.71790059,0.350947456,0.078492412,0.02495772,0.26211887,0.90742825
1427,0.387903087,0.081755356,0.052939559,0.0,0.584689382,0.301078254,0.341254868,0.126328532,0.0,0.02018444,0.097645569,2.819014007
1428,0.373145023,0.118438819,0.0,0.0,0.416424188,0.227341912,0.338036374,0.143750107,0.024779353,0.023621316,0.085390168,2.993300504
1431,0.506003822,0.102493761,0.045902796,0.0,1.123889478,0.398718903,0.310813745,0.242053823,0.035246489,0.026102809,0.105812103,0.266743895
1464,0.456637057,0.119691296,0.093999637,0.0,0.523791005,0.281461027,0.311140201,0.168863989,0.021444176,0.009335472,0.149167605,1.985628124
1469,0.507438354,0.130982052,0.05626314,0.0,1.050689309,0.291682892,0.549078936,0.247926815,0.043229844,0.05241339,0.106524295,19.78867591
1472,0.40020683,0.143460876,0.0,0.0,0.456194142,0.417240141,0.282343773,0.139452063,0.003723193,0.0,0.098096958,1.501588865
1473,0.367551682,0.15082875,0.0,0.0,0.824550774,0.408308888,0.36245947,0.187665274,0.0,0.0,0.101586021,4.487824926
1475,0.519652045,0.116050409,0.0,0.0,0.90046199,0.541067985,0.389596094,0.172444025,0.0,0.0,0.114673263,0.277258755
1480,0.453874164,0.133756865,0.016559379,0.0,0.829918454,0.57969962,0.418416763,0.191374953,0.017916065,0.012553177,0.112546813,9.697384895
1488,0.670931332,0.146180038,0.055129276,0.0,0.824037424,0.770174536,0.327789196,0.207186932,0.0,0.002983998,0.115523186,0.930804355
