,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.137441857,0.908773343,0.0,0.0,0.357233696,0.06786709,0.64515909,1.284903312,0.369920872,0.78771511,0.315271562,1.032078993
1330,0.070109552,0.633843913,0.0,0.0,0.232265015,0.056762444,0.414305673,1.080302539,0.324151744,0.731109243,0.24490777,0.952836964
1331,0.084661235,0.182906515,0.0,0.0,0.672330064,0.061604606,0.429365679,0.978062965,0.33303144,0.581824211,0.130524297,1.660993074
1337,0.101206872,0.272666838,0.0,0.0,0.074806534,0.05760286,0.435488402,1.109564134,0.394290851,0.702209542,0.208511155,1.028954715
1357,0.10697481,0.378597974,0.0,0.0,0.753568873,0.08051208,0.471081669,1.203257326,0.371914105,0.635381221,0.270942524,1.19559933
1377,0.098912484,0.564484992,0.0,0.0,2.500519478,0.065743688,0.588891138,1.357342589,0.464454885,0.838357565,0.288905473,1.559544689
1381,0.100409156,0.508736107,0.0,0.0,0.664893793,0.050428121,0.473909056,1.183132984,0.400110328,0.759819521,0.198204251,2.935200685
1400,0.060031013,0.276872873,0.0,0.0,0.144298459,0.01392168,0.475515611,1.034857654,0.340554413,0.629639928,0.21990091,3.793793262
1414,0.135766683,0.466656506,0.0,0.0,0.509243366,0.083040967,0.661224662,1.30859589,0.41839469,0.772101387,0.244815007,1.931737379
1418,0.200040914,0.423770696,0.0,0.0,0.004680684,0.073060812,0.705674142,1.31125182,0.405934523,0.757965051,0.321725371,3.154401242
1427,0.127635807,0.233430008,0.0,0.0,1.293373313,0.091465269,0.475866006,1.082691091,0.32694422,0.618754895,0.223262212,1.00789238
1428,0.061517784,0.33761804,0.0,0.0,0.273761643,0.092716865,0.403788567,1.104062483,0.356804988,0.671076525,0.237274064,2.690070182
1431,0.16125037,0.132189591,0.0,0.0,0.315488448,0.148613439,0.489822091,1.377860016,0.348704911,0.570740232,0.348005499,1.581948617
1464,0.065740144,0.757956036,0.007267179,0.0,0.436104067,0.125219899,0.642446397,1.394050979,0.346769527,0.766934381,0.319857477,12.00887034
1469,0.173879896,0.095912535,0.0,0.0,0.0,0.116163112,0.298257389,1.065865184,0.321632128,0.573661445,0.296725804,0.896002156
1472,0.075274017,0.342953675,0.0,0.0,0.970758932,0.187997861,0.408577581,1.186696999,0.373085196,0.663499477,0.221706789,2.273537301
1473,0.147564665,0.186639975,0.020461212,0.0,1.601372685,0.258946923,0.759853852,1.503499674,0.429759574,0.773627106,0.323429104,0.618851668
1475,0.121062939,0.183954395,0.0,0.0,0.0,0.276287027,0.421524893,1.398195249,0.510423184,0.920235142,0.296257815,3.206328345
1480,0.075770032,0.229793922,0.0,0.0,0.173823624,0.24803771,0.481371286,1.16769702,0.358010985,0.659198681,0.225213274,1.847936879
1488,0.186703301,0.137210068,0.0,0.0,0.0,0.272173424,0.272946407,1.00982269,0.351332852,0.583595066,0.181002643,3.486099819
