,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.128209144,0.915360455,0.0,0.0,0.596845658,0.072940888,0.603432819,1.277721407,0.563904676,0.969232904,0.217990167,0.130804447
1330,0.240957688,0.445660839,0.0,0.0,0.613201783,0.040714506,0.541791415,1.113706781,0.36867951,0.855849131,0.132482968,0.028728753
1331,0.065221949,0.232926893,0.0,0.0,1.967718826,0.076892472,0.486209828,1.071033663,0.468646437,0.72804236,0.07023374,0.012716673
1337,0.094177906,0.476101938,0.0,0.0,0.163254271,0.106751964,0.35720534,1.186432021,0.510691292,0.778945627,0.261795538,0.049165072
1357,0.289166665,0.64091066,0.075763084,0.0,1.268193568,0.205087654,0.740087811,1.331768817,0.817058886,0.911338023,0.114827173,0.019806615
1377,0.13704201,0.463306216,0.0,0.0,2.313544142,0.061412372,0.560739488,1.194242036,0.429271474,0.849633141,0.192466487,0.125520135
1381,0.237994246,0.388722066,0.021267927,0.0,0.981349633,0.022336663,0.533837213,1.194043848,0.604376209,1.055301571,0.228406246,0.028112501
1400,0.042839327,0.118733255,0.0,0.0,0.116178517,0.048984751,0.433463535,0.938258676,0.28840191,0.588120939,0.163335853,0.083204985
1414,0.087200387,0.38116412,0.0,0.0,0.92111957,0.143465254,0.761154278,1.271138479,0.593042152,0.873837684,0.147801356,0.079572004
1418,0.102490345,0.381989901,0.0,0.0,0.201789832,0.064501362,0.630205739,1.376263169,0.484799993,0.799787979,0.262921397,0.376031422
1427,0.118350674,0.112574378,0.031391927,0.0,1.267110547,0.361622746,0.375267673,1.695135957,0.453695469,0.746717359,0.173473905,0.006247267
1428,0.016312149,0.288053845,0.0,0.0,0.437526214,0.132525101,0.306515808,1.08992217,0.419290585,0.803387814,0.120796721,0.17438287
1431,0.216232669,0.205715355,0.0,0.0,0.67415368,0.247785528,0.565211875,1.467060336,0.539205717,0.694222349,0.233676468,0.071535144
1464,0.143185204,0.382189491,0.019136555,0.0,0.417190302,0.060405518,0.666815456,1.168036471,0.354655115,0.568521749,0.146573698,0.04174276
1469,0.1584793,0.271969815,0.0,0.0,0.398158392,0.09802541,0.443029724,1.26724532,0.418611156,0.777789458,0.351247827,0.030797067
1472,0.098943737,0.01166319,0.0,0.0,1.148445787,0.131571835,0.128013591,1.179907626,0.560813104,1.059532256,0.288868612,0.009379279
1473,0.168681404,0.0,0.011775482,0.0,1.733240846,0.324519529,0.579425237,1.29071467,0.35404702,0.693459918,0.251995773,0.02089629
1475,0.098236422,0.424376009,0.0,0.0,0.299023623,0.211623975,0.4909352,1.233953793,0.437970634,0.643660739,0.270672476,0.045875541
1480,0.181874602,0.230782464,0.0,0.0,0.209453709,0.305496927,0.319869935,1.018643952,0.386189468,0.761372689,0.249264183,0.01887576
1488,0.131317957,0.297277456,0.0,0.083133785,2.318167879,0.389514118,0.152880257,1.287391044,0.29484552,0.748641466,0.241073442,0.014263911
