,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.246126369,0.15852725,0.0,0.0,0.160499022,0.065759039,0.22967886,1.147205421,0.390523908,0.451012759,0.244684132,0.269723533
1330,0.108045013,0.174342187,0.0,0.0,0.0,0.075806002,0.220674869,0.882203872,0.320718133,0.483449254,0.314606945,1.650042813
1331,0.307528942,0.136030887,0.0,0.0,0.055009727,0.07433998,0.253298719,0.973587408,0.364895294,0.649679364,0.139395465,5.980243333
1337,0.31543101,0.158215396,0.0,0.0,0.163667967,0.008609298,0.185921381,0.89680656,0.34278847,0.516527087,0.143806045,1.238560295
1357,0.30708847,0.133519744,0.0,0.0,0.0,0.061907187,0.240811913,0.816641906,0.246474551,0.397272878,0.243913327,7.412647638
1377,0.339399863,0.180170664,0.0,0.0,0.0,0.100235699,0.275164414,1.252170051,0.467560317,0.784316554,0.333169073,0.800716725
1381,0.540591085,0.073534564,0.0,0.0,0.0,0.031118202,0.209089389,0.865737279,0.340130161,0.594220406,0.171340763,7.155766055
1400,0.137012331,0.092297376,0.0,0.0,0.0,0.022996288,0.245771726,0.776213287,0.28227849,0.488700557,0.217218159,2.008483563
1414,0.523960768,0.163382772,0.017647259,0.0,0.0,0.126780851,0.549160089,1.497278491,0.406016508,0.665396834,0.243873474,1.608682672
1418,0.355898536,0.15684341,0.0,0.0,0.0,0.098368457,0.541728493,1.300308931,0.369538178,0.579390468,0.352230639,1.84571699
1427,0.205483732,0.063651761,0.0,0.0,0.0,0.106742967,0.235933699,0.929446924,0.332099714,0.578100177,0.255516199,3.072404462
1428,0.252497477,0.11978274,0.0,0.0,0.0,0.087920798,0.226637095,0.962703583,0.267703535,0.493430114,0.256642144,2.773925104
1431,0.563125904,0.07834567,0.020109425,0.0,0.106328755,0.121967116,0.245446164,1.05309177,0.263718023,0.408549159,0.285498374,4.133750209
1464,0.80700626,0.123848435,0.03272882,0.0,0.0,0.108786241,0.243421746,1.022730353,0.288046293,0.569305033,0.351284982,4.101617495
1469,0.365018933,0.107631653,0.0,0.0,0.0,0.10477997,0.298721389,0.956650938,0.280318453,0.505569099,0.406655358,1.664625908
1472,0.304208026,0.069962246,0.0,0.0,0.0,0.223864449,0.26296029,1.071854814,0.325398829,0.579919611,0.197171053,9.604039596
1473,0.146032768,0.097356428,0.0,0.0,0.0,0.175547086,0.276769958,0.813974036,0.294295218,0.530305732,0.200482112,2.313740655
1475,0.234876185,0.082181548,0.0,0.0,0.0,0.182504206,0.226587356,0.874874152,0.314605265,0.56549541,0.189806995,3.936469151
1480,0.094656649,0.09158077,0.0,0.0,0.0,0.200544347,0.225921591,0.935273708,0.314302725,0.549707713,0.210086552,4.608767311
1488,0.23346302,0.10245605,0.0,0.0,0.0,0.217372431,0.183449955,0.780890485,0.338330326,0.547819262,0.192895742,4.123331909
