,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.137751535,0.756417034,0.0,0.0,0.511032421,0.135194173,1.040939776,1.318805065,0.46065524,0.812861192,0.17284451,0.062614392
1330,0.034344909,0.576684288,0.0,0.0,0.50564894,0.026090614,0.566665056,1.185736304,0.307396788,0.794569488,0.27687611,0.060169864
1331,0.096469397,0.227168001,0.024617001,0.0,1.10859072,0.085423011,0.255425189,1.095368702,0.121078936,0.775290181,0.210336428,0.013594037
1337,,,,,,,,,,,,0.0
1357,0.042020943,0.601177362,0.0,0.0,0.137510456,0.034611013,0.476027536,0.990470998,0.604640801,0.591296277,0.264001346,0.017224409
1377,0.119990878,0.596097493,0.0,0.0,2.360819566,0.025603259,0.519903147,1.328755575,0.541518988,0.814391517,0.204374031,0.12038748
1381,0.045913031,0.375052224,0.0,0.0,0.570070697,0.069670531,0.405895488,1.204076654,0.546151478,0.730997072,0.13878561,0.021032624
1400,0.058360487,0.106547326,0.0,0.0,0.116390479,0.0,0.449051756,1.174713295,0.404083733,0.796137662,0.217038355,0.061505832
1414,0.163362909,0.318794931,0.017711821,0.0,0.632079641,0.071159393,0.680266417,1.487752922,0.453281701,0.877248115,0.241811168,0.265186772
1418,0.100473515,0.347507801,0.0,0.0,0.110534183,0.079868581,0.713606493,1.503306083,0.502954436,0.846754325,0.245557588,0.56988484
1427,0.199218767,0.071300001,0.069066599,0.0,0.398165079,0.0,0.476390161,1.11296368,0.308161124,0.81096185,0.262087862,0.013200449
1428,0.065920629,0.256662118,0.0,0.0,0.218658787,0.09226224,0.331110225,1.18998987,0.41995403,0.774233519,0.228122897,0.108117553
1431,0.045605224,0.347938118,0.0,0.0,0.716388283,0.128693377,0.460815415,1.28518318,0.412837729,0.822637864,0.378454989,0.081147521
1464,0.109140761,0.420996678,0.0,0.0,0.256046073,0.115826296,0.440893606,1.318928695,0.41320401,0.784013636,0.227109228,0.143916403
1469,0.406803432,0.290649806,0.111590564,0.0,0.259534591,0.184168892,0.615766753,1.128065971,0.461735584,0.761190554,0.15084996,0.025333559
1472,0.115339606,0.199561062,0.0,0.0,0.0,0.207912574,0.783578427,1.508072108,0.262560699,0.712984523,0.051987366,0.0116655
1473,0.171725358,0.440777972,0.0,0.0,0.240553479,0.38243977,0.640854894,1.338510439,0.503681243,0.563679701,0.503447191,0.02363152
1475,0.0,0.345922997,0.0,0.0,0.846828659,0.148556727,0.433907804,1.245847671,0.600749725,0.562842334,0.264029275,0.017104459
1480,0.08954189,0.405498897,0.002368969,0.0,0.243937252,0.012764434,0.137754098,0.744217008,0.3733272,0.8448273,0.193707063,0.012059574
1488,0.155365491,0.366105497,0.098007937,0.0,0.310471408,0.239550613,0.545494362,1.430749802,0.502711605,0.827453876,0.257006305,0.024932327
