,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.700901984,0.232575477,0.068561222,0.0,0.944504638,0.348706428,0.756898497,0.421821476,0.134153711,0.079941019,0.279629518,35.32996219
1330,0.454868647,0.209542717,0.01848288,0.0,0.746150807,0.262885407,0.541017584,0.291919795,0.084996959,0.052039074,0.232978556,45.68589897
1331,0.440647011,0.205153311,0.000163752,0.0,1.859731286,0.209689179,0.602771943,0.314356368,0.076098207,0.069016221,0.131049481,39.90491842
1337,0.509262461,0.194455358,0.051684775,0.0,0.508526153,0.274947704,0.609180113,0.347860883,0.13231147,0.075443771,0.281531586,17.94173939
1357,0.629105274,0.159000606,0.057385486,0.0,1.040580653,0.279723051,0.519214603,0.318149984,0.120564922,0.045753447,0.329069033,34.26184346
1377,0.691955692,0.201022458,0.095088299,0.0,1.63981289,0.288282432,0.665024313,0.46552637,0.218547772,0.075964118,0.221215001,50.1753843
1381,0.648551739,0.154772328,0.078289115,0.0,0.96557666,0.258026702,0.552715475,0.298687073,0.108443719,0.039397643,0.21584218,34.02123772
1400,1.166520392,0.164142364,0.174688132,0.0,0.483104964,0.27263849,0.43239582,0.25418275,0.125015767,0.017600791,0.39336508,18.04840052
1414,0.677352204,0.178102287,0.07155121,0.0,1.206052239,0.385254112,0.876975533,0.443602791,0.083739933,0.051234379,0.247165714,42.33569228
1418,0.794229631,0.165722083,0.085433996,0.0,0.480994259,0.360838057,0.901891243,0.429809447,0.124359916,0.05009625,0.309537029,26.08927321
1427,0.524802416,0.129184668,0.040123703,0.0,1.887350134,0.291578089,0.491470422,0.21770299,0.043429712,0.019229107,0.167085872,62.68091044
1428,0.452535224,0.146090987,0.018980469,0.0,0.586674273,0.252258623,0.462851842,0.24418836,0.071038248,0.045848583,0.15847678,22.18235874
1431,0.786087504,0.161296975,0.102889053,0.0,0.633229369,0.426730843,0.728240318,0.550721836,0.163567516,0.06407867,0.296693991,15.91350379
1464,0.489624339,0.16539145,0.094247184,0.0,0.830038723,0.36916653,0.700015148,0.327059556,0.064962575,0.047313022,0.241789118,38.23115053
1469,0.572411016,0.133666396,0.076708871,0.0,0.622347419,0.317961122,0.610477693,0.294651199,0.064063237,0.065451771,0.124266038,47.26868516
1472,0.437865962,0.174031719,0.028654875,0.0,1.059209842,0.509093804,0.477332665,0.273451725,0.050910784,0.007816983,0.214552313,27.7251496
1473,1.162403008,0.204346499,0.239726568,0.0,2.456511788,0.757401366,0.705225201,0.572584137,0.06136833,0.037129859,0.277678368,45.33048287
1475,0.522791612,0.137029338,0.04337558,0.0,0.647243378,0.659869798,0.593319679,0.287843495,0.056068293,0.0,0.296272268,18.93543948
1480,0.506970414,0.144580883,0.027946303,0.0,0.730947646,0.56953353,0.506854793,0.235445103,0.050403309,0.017210509,0.180273149,35.45811469
1488,0.77438523,0.226014761,0.091636255,0.0,2.129279534,0.808691695,0.717660453,0.481358236,0.097201421,0.04827471,0.222918339,47.95384198
