,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.111920609,0.773703864,0.0,0.0,0.103460241,0.096180556,0.532570125,1.188424106,0.370634875,0.763897902,0.13158396,0.995389941
1330,0.093774686,0.586846189,0.0,0.0,0.099742458,0.098200997,0.42418228,1.039080968,0.317027936,0.709862506,0.078262443,1.247306679
1331,0.077494942,0.167742687,0.0,0.0,0.668039656,0.071046614,0.459814677,1.014200361,0.305014056,0.535222368,0.031845548,8.843956646
1337,0.121904284,0.359437936,0.0,0.0,0.005559706,0.074501491,0.399839063,1.137563414,0.33698625,0.566485082,0.119734959,1.926217274
1357,0.182220662,0.299037517,0.0,0.0,0.0,0.096397322,0.340634481,1.21532674,0.328310677,0.537913117,0.119913029,1.510704575
1377,0.114067568,0.394593093,0.0,0.0,1.640992198,0.097249171,0.514561996,1.264911679,0.446512051,0.76728024,0.088636141,0.311221156
1381,0.102583471,0.549504033,0.0,0.0,0.437633942,0.067563998,0.499675144,1.181318362,0.383901745,0.715614716,0.069153426,4.290989943
1400,0.107707459,0.290060993,0.0,0.0,0.0793928,0.041945903,0.47712205,0.964522882,0.313045894,0.546697857,0.057955527,3.90355303
1414,0.147310318,0.425936875,0.0,0.0,0.229597868,0.0631298,0.673440423,1.265067097,0.37987579,0.679643387,0.104465763,1.205431213
1418,0.212781445,0.387602206,0.0,0.0,0.0,0.095073216,0.648864783,1.328705544,0.405959849,0.709574992,0.114414069,2.706817282
1427,0.274388122,0.170186238,0.0,0.0,0.089083756,0.107749558,0.420827341,1.021330269,0.334370838,0.516296837,0.062710927,0.514358302
1428,0.075143197,0.406578541,0.0,0.0,0.118655258,0.117579327,0.410120766,1.104468821,0.32038166,0.640405361,0.087549784,2.477094381
1431,0.206276995,0.108983969,0.004016516,0.0,0.178670904,0.159448385,0.450841778,1.42346228,0.351805475,0.60704883,0.170459404,2.146054326
1464,0.067614413,0.356841322,0.00140402,0.0,0.100883859,0.142273979,0.577049718,1.372284309,0.332196308,0.662925535,0.099851,0.813983825
1469,0.154540591,0.133469576,0.0,0.0,0.0,0.113836754,0.377387597,1.155730831,0.332297574,0.599731434,0.078292766,1.379131138
1472,0.072418769,0.321096273,0.0,0.0,0.232101466,0.20120503,0.433954285,1.186450159,0.33329206,0.586762623,0.042972582,1.62636703
1473,0.353319588,0.130667029,0.009934961,0.0,0.136935023,0.320899661,0.56415221,1.605352198,0.430241823,0.672870383,0.056903729,0.726547933
1475,0.100462828,0.315612878,0.0,0.0,0.0,0.30173975,0.582868968,1.331918787,0.354138432,0.651274981,0.148776547,1.109692138
1480,0.128306659,0.19580582,0.0,0.0,0.0,0.209820672,0.438387887,1.158627933,0.331872535,0.54082028,0.087383418,1.570463211
1488,0.205686849,0.155993689,0.0,0.0,0.0,0.318879502,0.347758278,1.09128544,0.400374774,0.6560088,0.073501685,7.046371974
