,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.140864317,0.373513864,0.0,0.0,0.0,0.070488444,0.430143533,1.157376701,0.343154247,0.559081611,0.094834812,0.949129831
1330,0.09985825,0.329164512,0.0,0.0,0.0,0.068741824,0.29584346,1.025244877,0.305429137,0.56879323,0.048741759,1.805123294
1331,0.156349261,0.098397926,0.0,0.0,0.0,0.057316744,0.33909166,0.876448754,0.249089659,0.45043637,0.044033271,4.373557147
1337,0.243224297,0.18568399,0.0,0.0,0.0,0.054295392,0.27662947,1.018017435,0.319924042,0.520875848,0.092402116,6.507348422
1357,0.188308443,0.14020398,0.0,0.0,0.0,0.055280932,0.234973991,0.974823806,0.263469939,0.413118259,0.08073525,10.74058736
1377,0.228354018,0.200508964,0.0,0.0,0.287214741,0.116817726,0.443086328,1.302569445,0.386844202,0.706276641,0.099920835,0.388596582
1381,0.160301958,0.222409233,0.0,0.0,0.0,0.052312669,0.300702138,1.083715918,0.345918006,0.6020769,0.040398319,4.310157558
1400,0.203576341,0.171726439,0.0,0.0,0.0,0.05170188,0.33724833,0.998190473,0.271500172,0.493154274,0.033571264,1.370226778
1414,0.196909213,0.270569414,0.0,0.0,0.0,0.100098593,0.584319589,1.32766067,0.34187514,0.624027443,0.075475848,1.757356178
1418,0.354506429,0.247071752,0.0,0.0,0.0,0.098573326,0.512971834,1.355147986,0.355914098,0.58336509,0.097257037,3.716164784
1427,0.351676224,0.107048737,0.0,0.0,0.0,0.126884101,0.282746286,1.029238249,0.281394891,0.511595219,0.045088943,0.978738469
1428,0.1156094,0.280497501,0.0,0.0,0.0,0.090750728,0.340868459,1.078936315,0.286934474,0.56614351,0.074209894,2.062577722
1431,0.212109135,0.1057721,0.0,0.0,0.146380539,0.151505113,0.361502069,1.325789646,0.287273938,0.488590378,0.145686241,8.187708218
1464,0.055887191,0.337985835,0.0,0.0,0.037833131,0.129846136,0.50970843,1.380003336,0.291813445,0.557699556,0.107774897,1.737542395
1469,0.178650535,0.122340338,0.0,0.0,0.0,0.123378625,0.328454284,1.148607057,0.304233733,0.564484234,0.066983157,4.313514138
1472,0.121868406,0.150540248,0.0,0.0,0.0,0.18243151,0.252368522,0.964914616,0.265848672,0.492835274,0.047429352,15.06875012
1473,0.424806189,0.127827953,0.000212484,0.0,0.046031061,0.30728691,0.48420642,1.564946069,0.370608524,0.690967068,0.09281669,1.342184788
1475,0.122768631,0.189215552,0.0,0.0,0.0,0.274207939,0.379215531,1.298435616,0.333993753,0.585412232,0.132338763,4.34701747
1480,0.167952841,0.14192922,0.0,0.0,0.0,0.219081436,0.335484278,1.127528294,0.276999096,0.505598096,0.081298589,6.942504436
1488,0.199964309,0.117705684,0.0,0.0,0.0,0.293802477,0.274374844,1.023775412,0.341069338,0.582920397,0.057647653,2.471935755
