,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.257297335,0.47496585,0.0,0.0,0.164215271,0.139227192,0.592284571,1.29252016,0.467408784,0.785861663,0.250693355,0.513646732
1330,0.120626179,0.38069124,0.0,0.0,0.073125566,0.117503125,0.354322683,1.198569074,0.320020486,0.653269356,0.088720353,0.564998803
1331,0.138311011,0.11976765,0.0,0.0,0.0,0.071420257,0.35277684,0.810216634,0.323718972,0.499066122,0.141652449,0.726806746
1337,0.303978422,0.182554037,0.0,0.0,0.0,0.075417804,0.287938327,0.980518167,0.333843414,0.566485082,0.154752839,1.898122948
1357,0.184922772,0.149295697,0.0,0.0,0.0,0.060404114,0.2558791,0.947418858,0.251835252,0.36787396,0.222462973,8.120712318
1377,0.300837095,0.258620885,0.0,0.0,0.161933472,0.073460696,0.396026157,1.244520957,0.464968331,0.733484847,0.309784265,0.763437532
1381,0.18571185,0.149895775,0.0,0.0,0.0,0.058470223,0.230836063,1.026210531,0.385381276,0.641494109,0.185994113,2.821472839
1400,0.145338093,0.129080071,0.0,0.0,0.0,0.019355848,0.218201695,0.785161044,0.291682674,0.515411017,0.172513642,3.783171349
1414,0.220367016,0.311734173,0.0,0.0,0.0,0.120504961,0.556350606,1.352216403,0.390110959,0.667372181,0.184483713,1.540649443
1418,0.350311712,0.34599112,0.0,0.0,0.055518504,0.125642256,0.676349915,1.390506027,0.44752586,0.731073145,0.288286689,2.035441342
1427,0.39879882,0.094644852,0.0,0.0,0.0,0.088197272,0.282517473,0.922408676,0.224579953,0.389858996,0.255998191,0.830886487
1428,0.148814971,0.256898379,0.0,0.0,0.079236823,0.108526239,0.344240222,1.023486449,0.253768761,0.494345931,0.197622602,0.421663498
1431,0.266063982,0.121187084,0.0,0.0,0.163596107,0.205895163,0.501214871,1.582501697,0.398885309,0.686565476,0.239388023,4.371819241
1464,0.110538531,0.235022174,0.0,0.0,0.092881921,0.116001683,0.456235147,1.250895901,0.33645431,0.701222698,0.299411558,1.23402035
1469,0.216099058,0.13024805,0.0,0.0,0.0,0.132199565,0.328855799,1.170083738,0.314298149,0.605005364,0.283463392,1.226108213
1472,0.12620433,0.140800695,0.0,0.0,0.0,0.196776216,0.246591477,0.928159523,0.278382608,0.504345304,0.126330194,5.45874055
1473,0.444801048,0.119577432,0.014770332,0.0,0.100652383,0.329057798,0.498773287,1.500364384,0.364470202,0.627727974,0.194682338,1.240918151
1475,0.13697836,0.139868305,0.0,0.0,0.0,0.267338738,0.356800362,1.386721886,0.527361358,0.935172317,0.249431753,14.27349262
1480,0.192262866,0.110972595,0.0,0.0,0.0,0.230599301,0.270949123,1.051880951,0.3536583,0.645938571,0.17576339,4.934123598
1488,0.291145676,0.172984955,0.0,0.0,0.086970952,0.347503666,0.420284407,1.299956662,0.45303034,0.747538957,0.130051052,0.915743078
