,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.382784437,0.401329244,0.090347497,0.0,0.313472357,0.206741006,1.344630916,0.433756103,0.12366144,0.0,0.565890413,0.089329866
1330,0.393675607,0.288202016,0.0,0.0,0.127803654,0.261803109,1.216235554,0.248800869,0.05466345,0.058163238,0.57049668,0.074215944
1331,0.725358765,0.810050406,0.0,0.007584158,0.406826001,0.322565956,1.106866924,0.203737537,0.020991478,0.050172478,0.190338446,0.007825645
1337,0.362025285,0.295075711,0.048326184,0.0,0.0,0.315187397,1.101608742,0.307805727,0.069123159,0.0,0.567820705,0.173833646
1357,0.443029009,0.327808047,0.0,0.0,0.787666513,0.290514453,1.256049769,0.29807022,0.130805362,0.047730156,0.649582591,0.046815636
1377,0.469014723,0.313534441,0.08412633,0.0,1.362264774,0.232928378,1.038798709,0.700362905,0.046995651,0.0,0.383683296,0.036108532
1381,0.323393865,0.330082433,0.0,0.0,0.551168285,0.167351697,1.285599083,0.288969262,0.023637545,0.0,0.521017104,0.077948299
1400,0.596520899,0.25338651,0.0,0.0,0.0,0.329630411,1.097819515,0.099751331,0.000838867,0.009735082,0.667539191,0.061961159
1414,0.297244359,0.327400167,0.0,0.0,0.331635356,0.237716572,1.465933625,0.490287311,0.154087022,0.01939891,0.347664208,0.030474385
1418,0.654801766,0.380790996,0.001652019,0.0,0.193997332,0.23160782,1.59841165,0.385274713,0.122880286,0.022104977,0.668590952,0.082209299
1427,0.763411584,0.230343832,0.006108288,0.0,1.487067453,0.250057962,1.282738806,0.430607273,0.0708913,0.006132089,0.525516839,0.024989067
1428,0.346030397,0.314905869,0.0,0.0,0.263098935,0.258871098,1.147026248,0.19855914,0.047918051,0.038299858,0.546862358,0.142936779
1431,0.320135471,0.347354228,0.0,0.012685959,0.051934312,0.402455717,1.54633592,0.257620852,0.0,0.0,0.798599738,0.026570196
1464,0.256432536,0.382579861,0.0,0.0,0.212465719,0.176980545,1.635546127,0.207242934,0.197771764,0.026223866,0.654412127,0.007826768
1469,0.438528287,0.262695014,0.0,0.0,0.174072419,0.365965895,1.345207387,0.260971145,0.026018801,0.016084949,0.44319808,0.077955075
1472,0.420100799,0.371566281,0.0,0.0,0.688996688,0.533895844,1.523935184,0.26654142,0.009969349,0.0,0.54479554,0.105047928
1473,0.599889992,0.333568619,0.102454888,0.0,1.508045626,0.50372046,1.449556757,0.346742094,0.003673804,0.012865961,0.518254672,0.205748087
1475,0.379190507,0.300100812,0.108774408,0.0,0.227760282,0.676989583,1.294580533,0.204157923,0.091965898,0.0,0.581769727,0.058274336
1480,0.365860273,0.326100375,0.0,0.0,0.113353252,0.49849277,1.265367254,0.215791019,0.0,0.0,0.508479653,0.077390615
1488,0.624433785,0.354130573,0.062410915,0.0,1.171783641,0.598233413,1.543572703,0.587784265,0.024073786,0.079201679,0.500154611,0.019969475
