,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.133671323,0.0,0.0,0.0,0.0,0.147700476,0.407078715,0.638313013,0.068450185,0.0,0.390375184,6.284994178
1330,0.11387533,0.017231755,0.0,0.0,0.0,0.110075718,0.309405023,0.462924933,0.019305547,0.0,0.309940726,1.817093608
1331,0.111585236,0.0,0.0,0.0,0.0,0.239482714,0.276791549,0.326884373,0.0,0.0,0.188391145,5.820323199
1337,0.092440813,0.0,0.0,0.0,0.0,0.118538859,0.324440868,0.506011412,0.03502765,0.0,0.268574303,3.294059806
1357,0.128403185,0.0,0.0,0.0,0.0,0.146846028,0.292181405,0.509480637,0.029744962,0.0,0.303588761,5.794335308
1377,0.154064439,0.01883483,0.0,0.0,0.0,0.150797043,0.375957955,0.738782362,0.048748982,0.0,0.379800799,4.106055917
1381,0.099726157,0.0,0.0,0.0,0.0,0.115399408,0.229436473,0.490650403,0.0,0.0,0.302454655,2.816361476
1400,0.137172035,0.0,0.0,0.0,0.0,0.191846037,0.272361886,0.385934057,0.0,0.0,0.245652533,8.315187565
1414,0.142517353,0.0,0.0,0.0,0.0,0.143718816,0.416816203,0.636164923,0.002996831,0.0,0.34683925,3.171029018
1418,0.138718475,0.0,0.0,0.0,0.0,0.136545016,0.453947946,0.717411015,0.027480179,0.0,0.374598336,5.450172031
1427,0.159377841,0.0,0.034757035,0.0,0.0,0.282104527,0.338830008,0.428170705,0.0,0.0,0.332013303,3.050748631
1428,0.054173661,0.0,0.0,0.0,0.0,0.130106291,0.274374821,0.491259317,0.020470957,0.0,0.29491128,7.03248953
1431,0.139101819,0.0,0.054942055,0.0,0.218754142,0.215507529,0.388939778,0.874837298,0.067133976,0.016994018,0.466493494,4.128599751
1464,0.087692454,0.010619871,0.050683046,0.0,0.0,0.193862247,0.415425012,0.698718437,0.020037523,0.0,0.368165265,6.801460997
1469,0.131805536,0.0,0.020062464,0.0,0.0,0.176425498,0.331679358,0.493581954,0.014489922,0.0,0.34326124,7.175716513
1472,0.058836376,0.0,0.0,0.0,0.0,0.247773778,0.26870298,0.391490629,0.0,0.0,0.279705652,4.37637172
1473,0.206602824,0.007212758,0.119095507,0.0,0.0,0.415267996,0.428128696,0.792432999,0.014230544,0.0,0.416278849,5.116376262
1475,0.082127692,0.0,0.0,0.0,0.0,0.279429024,0.39048802,0.638455342,0.036139953,0.0,0.423619968,8.913493608
1480,0.060697573,0.0,0.0,0.0,0.0,0.278514734,0.282994794,0.528895128,0.005667772,0.0,0.366609255,5.870361282
1488,0.260275869,0.039788771,0.048708988,0.0,0.0,0.476126282,0.414812985,0.580329887,0.061081091,0.0,0.557180496,3.869799021
