,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,0.74886924,0.235510098,0.070904199,0.0,0.642205303,0.364720102,0.635879552,0.502439624,0.147958929,0.069166091,0.273455057,7.975880936
1330,0.5052519,0.217615893,0.031669189,0.0,0.455609855,0.270849253,0.480328633,0.40279862,0.109087855,0.057773787,0.220893536,3.378022504
1331,0.528615386,0.210850369,0.0180246,0.0,1.603255245,0.20963864,0.63244313,0.426028914,0.106905452,0.052376698,0.13757445,16.61090895
1337,0.547811286,0.197072621,0.037471489,0.0,0.249567147,0.255668459,0.501221295,0.432544665,0.140735845,0.066261466,0.262287814,11.45721761
1357,0.681611658,0.17201,0.071889671,0.0,0.688330287,0.280846077,0.435645758,0.397563877,0.131669502,0.046141421,0.321962784,2.241748744
1377,0.710291173,0.219286479,0.046698594,0.0,0.892794335,0.259770808,0.566375612,0.648019977,0.198844923,0.045739847,0.279945032,8.368582138
1381,0.66651112,0.159442982,0.050952076,0.0,0.510103864,0.226541382,0.384814787,0.408199758,0.123148466,0.02781686,0.212356703,2.224721111
1400,1.217954475,0.145187632,0.154302472,0.0,0.412250061,0.275977824,0.437416286,0.287005739,0.186081045,0.015874738,0.406970699,1.193194894
1414,0.75528328,0.21275431,0.085610751,0.0,0.850018853,0.39997986,0.76983445,0.603808037,0.134936177,0.055917974,0.268384053,2.324518335
1418,0.87423775,0.202035364,0.09179887,0.0,0.196456368,0.335856298,0.669907134,0.560182089,0.179139078,0.036982111,0.359519825,1.262064976
1427,0.594032172,0.136423974,0.021724545,0.0,1.776925952,0.286557178,0.485622719,0.273199563,0.073528013,0.01597951,0.168486178,4.38766373
1428,0.50790714,0.137300984,0.023233892,0.0,0.390403338,0.250638868,0.389278429,0.318950248,0.078777997,0.038916188,0.162907547,1.415074113
1431,0.887522858,0.156805603,0.092718486,0.0,0.502877789,0.405114396,0.462820326,0.573111932,0.220955415,0.060868376,0.320726543,2.426063319
1464,0.465019105,0.136916192,0.085707334,0.0,0.597519495,0.328083948,0.6528018,0.421674566,0.071428622,0.038064234,0.232323035,2.327158883
1469,0.651097479,0.141762056,0.065235653,0.0,0.391341107,0.295752152,0.543999052,0.393962756,0.096571872,0.060132123,0.152379492,4.928493061
1472,0.515336371,0.18293062,0.029883138,0.0,0.783921249,0.454327528,0.510360965,0.386186076,0.069684427,0.0,0.258875804,7.552195689
1473,1.127789505,0.190659867,0.21666574,0.0,2.153254108,0.696437803,0.555616983,0.735173754,0.097331168,0.049032352,0.322250746,1.604192117
1475,0.52832409,0.126791329,0.052014413,0.0,0.405269964,0.614943204,0.575257616,0.376640145,0.103770906,0.013165274,0.314204726,1.615562967
1480,0.569167616,0.149812702,0.026924357,0.0,0.493382758,0.534728955,0.503115174,0.392643274,0.090852685,0.0,0.244413703,2.253765714
1488,0.843980122,0.223594315,0.071072357,0.0,1.876924265,0.74738841,0.726726666,0.605439702,0.118375273,0.045478047,0.265041685,6.554267049
